Temperature,Clearsky DHI,Clearsky DNI,Relative Humidity,Wind Speed,DNI,Cloud Type,Clearsky GHI,DHI,GHI,Solar Zenith Angle
13.4,131,631,37.66,3.5,631,0,381,131,381,66.66
10.9,88,396,44.04,2.3,396,0,174,88,174,77.5
8.4,0,0,52.37,1.7,0,0,0,0,0,89.08
7.3,0,0,56.75,1.7,0,0,0,0,0,102.03
6.5,0,0,60,1.6,0,0,0,0,0,115
5.9,0,0,62.27,1.5,0,0,0,0,0,128.25
5.2,0,0,64.7,1.5,0,0,0,0,0,141.66
4.5,0,0,66.82,1.5,0,0,0,0,0,155.09
3.8,0,0,68.34,1.7,0,0,0,0,0,168.18
3.2,0,0,68.45,1.9,0,0,0,0,0,174.18
2.9,0,0,65.94,2,0,0,0,0,0,162.56
2.1,0,0,64.69,2.3,0,0,0,0,0,149.22
1.6,0,0,61.58,2.3,0,0,0,0,0,135.77
1.1,0,0,59.11,2.3,0,0,0,0,0,122.41
0.7,0,0,57.67,2.3,0,0,0,0,0,109.26
1.2,0,0,54.21,2.7,0,0,0,0,0,96.44
3.3,44,278,46.24,3.7,278,0,74,44,74,83.98
6.1,89,666,38.07,4.1,666,0,289,89,289,72.54
9.6,110,832,30.01,4.4,832,0,497,110,497,62.28
12.5,122,912,22.9,5.2,912,0,658,122,658,53.98
13.8,131,943,19.57,5.3,943,0,753,131,753,48.69
14.6,133,948,17.93,5.2,948,0,775,133,775,47.43
14.9,130,929,17.19,5,929,0,721,130,721,50.51
14.8,121,877,17,4.8,877,0,595,121,595,57.23
13.6,103,761,18.14,3.8,761,0,407,103,407,66.48
10.6,74,530,21.97,2.4,530,0,190,74,190,77.33
7.8,11,15,26.49,1.8,15,0,11,11,11,88.93
6.8,0,0,28.22,1.8,0,0,0,0,0,101.88
6.2,0,0,29.11,1.9,0,0,0,0,0,114.86
5.7,0,0,29.65,2.1,0,0,0,0,0,128.12
5.3,0,0,29.81,2.4,0,0,0,0,0,141.53
4.9,0,0,29.73,2.8,0,0,0,0,0,154.96
4.5,0,0,29.48,3,0,0,0,0,0,168.02
4.1,0,0,29.13,3.1,0,0,0,0,0,174.06
3.9,0,0,28.35,3.2,0,0,0,0,0,162.57
3.7,0,0,28.07,3.8,0,0,0,0,0,149.24
3.7,0,0,28.86,4.3,0,0,0,0,0,135.8
3.5,0,0,32.07,4.3,0,0,0,0,0,122.43
3.2,0,0,36.2,4.1,0,0,0,0,0,109.27
3.4,0,0,38.67,4.5,0,0,0,0,0,96.43
4.7,50,97,39.98,5.1,97,0,61,50,61,83.95
7.4,117,482,40.51,5.8,482,0,262,117,262,72.49
10.5,144,696,49.33,6.9,696,0,468,144,468,62.19
12.5,164,787,47.96,7.7,787,0,628,164,628,53.86
13.5,175,828,41.05,8,828,0,723,175,723,48.53
14,186,814,35.84,8.1,814,0,739,186,739,47.24
14.1,190,780,32.42,7.9,780,0,688,190,688,50.31
13.7,178,707,30.42,7.5,707,0,563,178,563,57.03
12.7,153,573,29.67,6.5,573,0,383,153,383,66.29
10.3,105,314,32.39,4.5,314,0,174,105,174,77.16
7.5,6,0,37.62,2.8,0,0,6,6,6,88.79
6.1,0,0,40.48,2.4,0,0,0,0,0,101.73
5.1,0,0,42.85,2.3,0,0,0,0,0,114.72
4.3,0,0,45.3,2.2,0,0,0,0,0,127.98
3.6,0,0,47.92,2.1,0,0,0,0,0,141.4
3,0,0,50.71,2,0,0,0,0,0,154.83
2.4,0,0,53.88,2,0,0,0,0,0,167.86
1.7,0,0,57.66,2,0,0,0,0,0,173.93
1.4,0,0,59.82,2,0,0,0,0,0,162.58
0.5,0,0,64.42,1.8,0,0,0,0,0,149.27
-0.1,0,0,67.6,1.6,0,0,0,0,0,135.82
-0.5,0,0,70.06,1.5,0,0,0,0,0,122.45
-0.8,0,0,72.66,1.3,0,0,0,0,0,109.27
-0.1,0,0,70.23,1.1,0,0,0,0,0,96.42
1.8,43,314,62.71,1.3,314,0,76,43,76,83.92
4.6,82,693,53.09,1.8,693,0,292,82,292,72.43
7.5,102,846,48.26,2.5,846,0,498,102,498,62.1
9.5,114,920,43.37,2.9,920,0,658,114,658,53.73
10.8,117,957,37.62,2.8,957,0,753,117,753,48.36
11.6,119,964,34.04,2.7,964,0,776,119,776,47.04
12.1,116,946,31.37,2.8,946,0,723,116,723,50.1
12.1,109,896,30.01,2.8,896,0,600,109,600,56.82
11.4,92,809,30.67,2.4,221,7,420,171,261,66.1
9,66,606,35.92,1.6,113,7,203,88,113,76.99
6.7,14,64,42.87,1.3,64,7,16,14,16,88.64
5.9,0,0,46.58,1.3,0,7,0,0,0,101.58
5.4,0,0,49.6,1.3,0,7,0,0,0,114.58
5.1,0,0,51.99,1.3,0,4,0,0,0,127.85
4.9,0,0,53.89,1.2,0,0,0,0,0,141.27
4.6,0,0,56.14,1.2,0,0,0,0,0,154.69
4.5,0,0,57.45,1.1,0,0,0,0,0,167.7
4.3,0,0,58.9,1,0,0,0,0,0,173.79
4.2,0,0,59.84,0.9,0,0,0,0,0,162.58
3.9,0,0,61.49,0.7,0,0,0,0,0,149.28
3.6,0,0,63.09,0.6,0,0,0,0,0,135.84
3.2,0,0,65.12,0.6,0,0,0,0,0,122.46
2.8,0,0,67.25,0.6,0,0,0,0,0,109.27
2.8,0,0,67.54,0.5,0,0,0,0,0,96.4
3.8,42,327,63.08,0.5,327,0,76,42,76,83.89
